ID,x,y,Name,Age
0,2732,4709,TQLEESDSBB,23
1,9845,7923,UJLAHHTVJZVWJA,66
2,3264,2308,NJKHZRMPAXYOUYWCWCS,49
3,4859,934,YLTXLYDHJKBU,51
4,9225,966,NFXYMIZMFNUR,32
5,7891,3955,TFNDAVRYXNFCNBJT,52
6,4373,9137,NQBXTNWXGA,54
7,5874,427,NLIEJTHFVVHSDJA,44
8,6744,3929,EBGJNBYGCUQO,73
9,3468,9854,MUQUNOFVJMEWWG,65
10,705,4000,GQJYVEFEBPVPDJIEFPH,17
11,2599,3295,MQTCWJPEJGACZ,23
12,2222,7466,TYYXJRNLLPESFGME,42
13,7768,117,PLYCBTSNIVRVZGBKLXQP,63
14,2897,2369,TSKJFNWTAGCTKXQ,72
15,9893,4544,JRXXFFFHJPC,70
16,537,1664,TCAEDMAXZEQBYHBEN,48
17,6216,8418,IFDRVSNTUOMRMJTK,74
18,6921,1306,NUXCCRGAZMTHPDLW,61
19,6036,225,NJFXIBHGZARVMCMEMA,49
20,2163,3201,EVZBIHIEBFGVI,42
21,5072,8764,CMPAMPLMRRABOJBV,68
22,4851,5530,KKFBTLEJPBD,62
23,7877,6563,QIRGUSAXNR,45
24,2046,5290,IJJSSGHKNGG,34
25,1871,91,TSLNRZQFOFQYDKL,36
26,7599,7892,IQVGEXRWZBSIHJHSNIQU,70
27,2496,6419,DIJPODBMOSCDFX,16
28,8291,1417,IMAXOZPIDXLL,45
29,755,3013,CUREHHBLXLUXAPU,62
30,797,2863,ADMXBGHTRZCTA,36
31,659,3006,MPLEFWSUDACORJDFBNB,27
32,3219,7554,MYXBIHELOLRJECMGNTOO,20
33,8615,8159,NTWILGGCXQYCXKKVF,50
34,7456,2929,SWNKMQBCICTATLIBOJT,72
35,3337,5316,UKBWAMCHHITDRASQ,24
36,2745,1487,AUKNUDFTTSQF,15
37,4735,7097,CVHCKZCIGZLN,70
38,8736,5505,LTNHCDZGFNS,42
39,6687,8576,TLVSJWNMFW,55
40,714,2563,CFIPTVQLFQ,35
41,2292,3128,TLYNMOPPZUGJLFQIYI,70
42,8343,4294,BMZDOMJTSRZYYWVPSUNL,15
43,1207,9920,SENWZQOZKBIWBNHNVJ,25
44,6172,8514,EWAJYDIGRBMYL,67
45,8994,6094,YEZVVJZARJRITNJLM,66
46,7221,8056,PIIVCPOLRROAHHFR,71
47,6021,6972,MQKCMSPFXBHEOIICYH,60
48,3622,9693,CCXGICJCQRTRNQEMKDNI,59
49,3560,6014,VKCXSUGUFAZIGGORNJC,33
50,8948,2372,OBYGSYNHGZ,34
51,1641,6396,FYNPPSYANSG,72
52,4984,4795,SOQYKQMPDWJJXITV,73
53,4353,2263,OCYFGLJHLEMXGWQBSFD,17
54,8622,4967,KXDVJZMSSHM,44
55,7250,5382,IQQXSXNRIF,73
56,4187,9848,SIBDLQLLCM,32
57,2659,7956,FLACGQHJJLDHVDBPTUU,37
58,9781,3305,IMNCZVLYFHQZTDCF,51
59,2956,1857,NSNUVASADZYQD,73
60,2251,4020,DDIVAKYPRXD,25
61,4420,8543,ZRUVORLWBZNWFIDKKJ,49
62,7108,4775,XPZPHULPJM,34
63,1071,8091,WLLOZLNZTECCVMUOSTJR,73
64,5251,6253,ZTZVXGSNICAEFHK,35
65,7012,1665,PCKKCQZCCLDL,43
66,9396,5095,IHQEBJGZDC,73
67,3918,3587,DDYTZSDJHG,38
68,9359,1556,YKGUGVRDYLUMTXGBI,42
69,1684,5205,XVTQHKZDJFZFVOUDGT,51
70,7098,2256,OPOVEMKANT,46
71,2957,2954,YAVATGVHXOQ,67
72,4469,2112,SQIWHCWPHBCIZP,30
73,8752,5085,ESGDPQKYHWQNQ,57
74,9797,648,WEFHXUZCEENMBW,16
75,5795,104,OIFEMSOBCPZCVIRY,20
76,1472,7428,LLAXTAVBWLSAGS,28
77,7263,3587,NTDBHXMHWWQI,75
78,7365,6466,FFVDTUFQZVDIMFCSUYOR,51
79,8448,1285,UEOIITPTSWSZFOYFSJPD,75
80,6001,2866,LDOSAJSNBEZVVETNYRPU,34
81,3762,8458,AICFEJOECQ,51
82,9008,6595,XFZYRBWXMIZEWK,56
83,2435,3687,GOPTVNCVGKA,59
84,1634,8155,HCQFCNUDFBPFNFSPBX,59
85,973,8599,CKBSPUYPATEICB,20
86,4464,9889,MHQHVKRFBKPSC,52
87,8393,1108,SVUXFYRUQMLLSG,74
88,2418,2567,TJAMLSDLOUEL,56
89,3455,9434,XZZNBGVUDIYLES,38
90,6167,5718,LPOJIDUZVAJS,55
91,5819,4103,GKKASHDVTNVUIK,37
92,6521,8815,KHCAMMKQGZBQFSCNSDMV,70
93,6242,6958,XBIHJTQTZOERLOGJOUW,29
